,student_id,name,age,gender,email,phone,enrollment_year,course_batch,city,graduation_year
0,0,Christian Cox,28,Female,richardgreene@example.net,9127490809,2021,EE-90-93,North Lindsaychester,2011
1,1,Keith Manning,49,Male,davisjulie@example.org,2444036031,2023,CC-78-98,Carpentermouth,2016
2,2,Joshua Keith,48,Male,haroldwilson@example.net,5136976579,2025,AA-23-23,Melissaport,2016
3,3,Isaiah Baker,43,Male,gibsonbenjamin@example.com,6382459280,2023,BB-55-50,New Brandonstad,2013
4,4,Samantha Whitaker,26,Male,vjones@example.org,2381106392,2017,DD-66-67,Townsendbury,2010
5,5,Jerry Freeman,46,Male,garciakathryn@example.org,4250485280,2010,EE-90-93,New Victorborough,2012
6,6,Mr. Kenneth Morrison,31,Male,clarkjoseph@example.com,5226331751,2010,EE-90-93,Evansbury,1998
7,7,Beth Castro,34,Female,cristian47@example.org,3566668102,2017,EE-90-93,Danielton,2002
8,8,Guy Glenn,25,Female,michaelwilliams@example.net,8465868867,2014,BB-55-50,West Kyle,2014
9,9,Katherine Calderon,33,Male,wilsonlinda@example.com,9119940235,2013,AA-23-23,Mooreshire,2015
10,10,Adrian Cook,41,Female,owensrobert@example.net,6728844479,2023,AA-23-23,Port Jacobmouth,2009
11,11,John Gonzalez,18,Male,nelsonsarah@example.net,7015434360,2020,EE-90-93,Lake John,2019
12,12,Sherri Powell,18,Male,ashley09@example.net,6542088734,2010,DD-66-67,East Charlene,2009
13,13,Lori Fry,21,Male,taylorjessica@example.net,1477145478,2016,BB-55-50,West Scott,2005
14,14,Jessica Nunez,37,Male,jake39@example.org,1494903691,2011,AA-23-23,Jessicashire,2008
15,15,Christopher Gomez,36,Male,williamspaul@example.com,5985422836,2017,CC-78-98,Mariaborough,2020
16,16,Lisa Frederick,40,Male,adamrichard@example.org,8104500019,2020,EE-90-93,Jimenezville,2021
17,17,Ross Thompson,30,Female,kmyers@example.org,4246744043,2010,BB-55-50,West Jenniferborough,2009
18,18,Monica Carrillo,43,Female,conradnicholas@example.org,3033239649,2011,BB-55-50,South Tammyport,2015
19,19,Jackie Galvan,41,Male,crawfordanthony@example.org,3777187675,2011,EE-90-93,Jessicafort,2002
20,20,Stephanie Galvan,35,Male,cookkatherine@example.org,3183473785,2023,DD-66-67,Changland,2023
21,21,Brooke Cohen,45,Female,smithjose@example.net,8468571968,2011,AA-23-23,Laurachester,2001
22,22,Lisa Collier,29,Male,browndaniel@example.net,1807221123,2018,DD-66-67,New Erik,2003
23,23,Margaret Smith,49,Female,kellycastaneda@example.org,8250813919,2011,EE-90-93,Duffytown,2011
24,24,Sarah Berry,25,Male,wilsonmelinda@example.net,5393930525,2017,BB-55-50,Michaeltown,2005
25,25,Robin Hodges MD,40,Female,mark09@example.org,1619957318,2018,AA-23-23,Amberbury,2007
26,26,Cindy Washington,18,Male,frank41@example.net,7622578360,2017,BB-55-50,North Davidchester,1999
27,27,Matthew Erickson,42,Male,michael78@example.org,6897271709,2011,CC-78-98,Amyburgh,2014
28,28,Jon Yoder,41,Male,kmartin@example.net,7852577060,2025,DD-66-67,Sheilamouth,2008
29,29,Andre Olson,18,Female,marklee@example.com,1329458558,2013,AA-23-23,Lake Cameron,2024
30,30,Ronald Mahoney,24,Female,hmoore@example.com,4194424555,2019,CC-78-98,South Jillport,2022
31,31,Gregory Conley,43,Female,ymartinez@example.net,107142263,2019,EE-90-93,South Adamburgh,2002
32,32,Deanna Fernandez,35,Female,gali@example.net,6502605127,2014,CC-78-98,New Melissaport,1998
33,33,James Mayo,38,Female,raymond36@example.com,705919650,2017,AA-23-23,East Cory,2011
34,34,Mrs. Deborah Mejia MD,33,Female,aaronduran@example.org,5584529328,2022,AA-23-23,West Chadville,2002
35,35,Sean Pope,39,Female,crystalbrowning@example.org,9163885060,2025,AA-23-23,New Mary,2018
36,36,Andrew Williams,35,Male,hayeskeith@example.net,1459810350,2015,BB-55-50,East Ashleyborough,2022
37,37,Linda Crane,44,Female,woodtimothy@example.com,2293176372,2023,CC-78-98,East Rhonda,2014
38,38,Diana Trujillo,45,Male,miadillon@example.org,7502993228,2019,DD-66-67,Port Rick,2012
39,39,Tracy Wallace,36,Male,willie73@example.com,4783877962,2024,CC-78-98,North Ethan,2015
40,40,Johnny Garcia,20,Male,xesparza@example.com,5206670347,2021,EE-90-93,Mortonside,2001
41,41,Christopher Bauer,41,Female,hernandezjeffrey@example.org,6945666503,2010,CC-78-98,Brownberg,2005
42,42,Andrew Riley,31,Female,sburke@example.net,1431113196,2021,DD-66-67,East Anthonybury,2014
43,43,Ryan Thomas,31,Male,aaron29@example.com,5441054777,2025,CC-78-98,New Lindsay,2004
